m,scenario,effect,detector,power_column,target,crossover_length,status
4,independent_fundamental,0.18,shared_orbit,power_calibrated,0.5,864.9296422759373,internal
4,independent_fundamental,0.25,full,power_calibrated,0.5,768.4913309380939,internal
4,independent_fundamental,0.25,fundamental,power_calibrated,0.5,699.7776326539303,internal
4,independent_fundamental,0.25,shared_orbit,power_calibrated,0.5,519.2909956978507,internal
5,exact_orbit,0.08,full,power_calibrated,0.5,2513.9755858681488,internal
5,exact_orbit,0.08,fundamental,power_calibrated,0.5,2252.580085248628,internal
5,exact_orbit,0.08,shared_orbit,power_calibrated,0.5,1887.0951182357828,internal
5,exact_orbit,0.12,full,power_calibrated,0.5,1186.8828942856783,internal
5,exact_orbit,0.12,fundamental,power_calibrated,0.5,865.0490596794915,internal
5,exact_orbit,0.12,shared_orbit,power_calibrated,0.5,647.8465677201245,internal
5,exact_orbit,0.18,full,power_calibrated,0.5,572.9933988330512,internal
5,exact_orbit,0.18,fundamental,power_calibrated,0.5,397.9207696243209,internal
5,exact_orbit,0.18,shared_orbit,power_calibrated,0.5,361.2358749587919,internal
5,exact_orbit,0.25,full,power_calibrated,0.5,275.52531416646804,internal
5,exact_orbit,0.25,fundamental,power_calibrated,0.5,209.70715249677056,internal
5,exact_orbit,0.25,shared_orbit,power_calibrated,0.5,200.0,below_grid
5,higher_mode,0.08,full,power_calibrated,0.5,2597.743338322701,internal
5,higher_mode,0.08,fundamental,power_calibrated,0.5,,above_grid
5,higher_mode,0.08,shared_orbit,power_calibrated,0.5,,above_grid
5,higher_mode,0.12,full,power_calibrated,0.5,1045.3867780019277,internal
5,higher_mode,0.12,fundamental,power_calibrated,0.5,,above_grid
5,higher_mode,0.12,shared_orbit,power_calibrated,0.5,,above_grid
5,higher_mode,0.18,full,power_calibrated,0.5,468.1574657756184,internal
5,higher_mode,0.18,fundamental,power_calibrated,0.5,,above_grid
5,higher_mode,0.18,shared_orbit,power_calibrated,0.5,,above_grid
5,higher_mode,0.25,full,power_calibrated,0.5,242.7261607560795,internal
5,higher_mode,0.25,fundamental,power_calibrated,0.5,6321.271421041291,internal
5,higher_mode,0.25,shared_orbit,power_calibrated,0.5,6096.141822490166,internal
5,independent_fundamental,0.08,full,power_calibrated,0.5,,above_grid
5,independent_fundamental,0.08,fundamental,power_calibrated,0.5,,above_grid
5,independent_fundamental,0.08,shared_orbit,power_calibrated,0.5,4935.074641305412,internal
5,independent_fundamental,0.12,full,power_calibrated,0.5,3930.1477032246153,internal
5,independent_fundamental,0.12,fundamental,power_calibrated,0.5,3414.4167450235004,internal
5,independent_fundamental,0.12,shared_orbit,power_calibrated,0.5,2209.133661406781,internal
5,independent_fundamental,0.18,full,power_calibrated,0.5,1673.4438062362121,internal
5,independent_fundamental,0.18,fundamental,power_calibrated,0.5,1271.6896265601601,internal
5,independent_fundamental,0.18,shared_orbit,power_calibrated,0.5,997.5822214383406,internal
5,independent_fundamental,0.25,full,power_calibrated,0.5,919.843795564209,internal
5,independent_fundamental,0.25,fundamental,power_calibrated,0.5,654.5603962903888,internal
5,independent_fundamental,0.25,shared_orbit,power_calibrated,0.5,491.1951433641642,internal
6,exact_orbit,0.08,full,power_calibrated,0.5,3981.255389198074,internal
6,exact_orbit,0.08,fundamental,power_calibrated,0.5,3320.839139832258,internal
