m,scenario,effect,segment_length,split_fraction,n_left,n_right,total_length,detector,population_gain,expected_gain_total,mean_raw_gain,mean_score,sd_score,critical_value,null_rate_zero_threshold,power_zero_threshold,power_calibrated,shift_accuracy,n_alt,n_null,alpha,optimizer_failures,seed,pattern_000,pattern_001,pattern_010,pattern_011,pattern_100,pattern_101,pattern_110,pattern_111
2,exact_orbit,0.12,100,0.5,100,100,200,shared_orbit,0.007148489757645815,1.429697951529163,1.4235617220920775,1.4235617220920775,1.8710458122291733,1.1275600120438583,0.178,0.78,0.458,1.0,500,1000,0.05,0,3135204155,262,57,0,0,0,0,9,172
2,exact_orbit,0.12,200,0.5,200,200,400,full,0.007148489757645725,2.85939590305829,3.3306283799364382,1.028043286942393,2.462035416029963,-0.29600077219050513,0.026,0.588,0.658,,500,1000,0.05,0,1191020092,69,102,0,0,0,0,11,318
2,exact_orbit,0.12,200,0.5,200,200,400,fundamental,0.007148489757645815,2.859395903058326,3.3306283799363894,1.0280432869423441,2.462035416029961,-0.2960007721904483,0.026,0.588,0.658,,500,1000,0.05,0,1191020092,69,102,0,0,0,0,11,318
2,exact_orbit,0.12,200,0.5,200,200,400,shared_orbit,0.007148489757645815,2.859395903058326,2.830718308277846,2.830718308277846,2.5620303076621207,0.48029236641815487,0.086,0.898,0.84,1.0,500,1000,0.05,0,1191020092,69,102,0,0,0,0,11,318
2,exact_orbit,0.12,400,0.5,400,400,800,full,0.007148489757645725,5.71879180611658,6.330830646134071,3.6816719628600545,3.582928844481476,-0.7925510332869776,0.02,0.866,0.916,,500,1000,0.05,0,703432470,0,42,0,0,0,0,1,457
2,exact_orbit,0.12,400,0.5,400,400,800,fundamental,0.007148489757645815,5.718791806116652,6.330830646133956,3.6816719628599386,3.582928844481461,-0.7925510332868639,0.02,0.866,0.916,,500,1000,0.05,0,703432470,0,42,0,0,0,0,1,457
2,exact_orbit,0.12,400,0.5,400,400,800,shared_orbit,0.007148489757645815,5.718791806116652,5.827507340290411,5.827507340290411,3.6368707462884293,-0.9507651558456018,0.014,0.98,0.998,1.0,500,1000,0.05,0,703432470,0,42,0,0,0,0,1,457
2,exact_orbit,0.12,800,0.5,800,800,1600,full,0.007148489757645725,11.43758361223316,12.111074253038904,9.115341979484915,4.911700581196559,-1.1551885415910381,0.011,0.992,1.0,,500,1000,0.05,0,1528612522,0,0,0,0,0,0,0,500
2,exact_orbit,0.12,800,0.5,800,800,1600,fundamental,0.007148489757645815,11.437583612233304,12.111074253038788,9.1153419794848,4.911700581196513,-1.1551885415914929,0.011,0.992,1.0,,500,1000,0.05,0,1528612522,0,0,0,0,0,0,0,500
2,exact_orbit,0.12,800,0.5,800,800,1600,shared_orbit,0.007148489757645815,11.437583612233304,11.614852320013375,11.614852320013375,4.94477376074729,-4.470993368001018,0.001,1.0,1.0,1.0,500,1000,0.05,0,1528612522,0,0,0,0,0,0,0,500
