m,scenario,effect,detector,crossover_length,status,ci_low,ci_high,boot_internal_fraction,n_boot
4,higher_mode,0.18,shared_orbit,4935.074641305412,internal,4387.673306650578,5750.334431822902,1.0,500
4,higher_mode,0.25,full,200.0,below_grid,,,0.0,500
4,higher_mode,0.25,fundamental,2037.0183857874229,internal,1889.237185961455,2165.9495610220856,1.0,500
4,higher_mode,0.25,shared_orbit,1554.914002676178,internal,1352.9892694146074,1689.9353102423786,1.0,500
4,independent_fundamental,0.08,full,,above_grid,,,0.0,500
4,independent_fundamental,0.08,fundamental,,above_grid,5810.683276502451,6399.9999999999945,0.298,500
4,independent_fundamental,0.08,shared_orbit,4904.383872664907,internal,4525.483399593904,5369.783349923314,1.0,500
4,independent_fundamental,0.12,full,3141.3947367896167,internal,2875.7828389270203,3432.6288577012365,1.0,500
4,independent_fundamental,0.12,fundamental,2715.522467629104,internal,2532.2695489507664,2970.2394279671616,1.0,500
4,independent_fundamental,0.12,shared_orbit,2133.227588852061,internal,1957.608800055501,2278.7391728433963,1.0,500
4,independent_fundamental,0.18,full,1411.6933552955443,internal,1315.670248661859,1572.530784032812,1.0,500
4,independent_fundamental,0.18,fundamental,1303.4156813849522,internal,1199.151845331891,1426.190095017867,1.0,500
4,independent_fundamental,0.18,shared_orbit,864.9296422759373,internal,784.3139042013411,939.0577432514319,1.0,500
4,independent_fundamental,0.25,full,768.4913309380939,internal,702.979880724512,847.5620035613995,1.0,500
4,independent_fundamental,0.25,fundamental,699.7776326539303,internal,648.1732875575708,778.9609516672223,1.0,500
4,independent_fundamental,0.25,shared_orbit,519.2909956978507,internal,483.90521739946877,556.0461004686223,1.0,500
5,exact_orbit,0.08,full,2513.9755858681488,internal,2355.667981017729,2731.544280936649,1.0,500
5,exact_orbit,0.08,fundamental,2252.580085248628,internal,2102.0518293606524,2433.642085173559,1.0,500
5,exact_orbit,0.08,shared_orbit,1887.0951182357828,internal,1772.6343793319845,2011.4813306958058,1.0,500
5,exact_orbit,0.12,full,1186.8828942856783,internal,1081.4974612904743,1316.1472864965967,1.0,500
5,exact_orbit,0.12,fundamental,865.0490596794915,internal,778.3682608923774,942.5905040279662,1.0,500
5,exact_orbit,0.12,shared_orbit,647.8465677201245,internal,598.3446614620851,710.446169996594,1.0,500
5,exact_orbit,0.18,full,572.9933988330512,internal,519.2191495125662,641.0121702261938,1.0,500
5,exact_orbit,0.18,fundamental,397.9207696243209,internal,363.0816748879001,447.1951311260403,1.0,500
5,exact_orbit,0.18,shared_orbit,361.2358749587919,internal,330.06437645913354,402.2803928610837,1.0,500
5,exact_orbit,0.25,full,275.52531416646804,internal,251.0387665046725,301.6323587558629,1.0,500
5,exact_orbit,0.25,fundamental,209.70715249677056,internal,201.3030407450798,232.39514673768429,0.758,500
5,exact_orbit,0.25,shared_orbit,200.0,below_grid,200.85414355311312,209.69715062074724,0.03,500
5,higher_mode,0.08,full,2597.743338322701,internal,2382.248199551865,2898.315725644503,1.0,500
5,higher_mode,0.08,fundamental,,above_grid,,,0.0,500
5,higher_mode,0.08,shared_orbit,,above_grid,,,0.0,500
5,higher_mode,0.12,full,1045.3867780019277,internal,979.2428346437237,1113.1550098152659,1.0,500
5,higher_mode,0.12,fundamental,,above_grid,,,0.0,500
5,higher_mode,0.12,shared_orbit,,above_grid,,,0.0,500
5,higher_mode,0.18,full,468.1574657756184,internal,433.8795942842511,499.0610213526213,1.0,500
5,higher_mode,0.18,fundamental,,above_grid,,,0.0,500
5,higher_mode,0.18,shared_orbit,,above_grid,,,0.0,500
5,higher_mode,0.25,full,242.7261607560795,internal,224.30604278846084,258.6987437099255,1.0,500
5,higher_mode,0.25,fundamental,6321.271421041291,internal,5589.690022896917,6399.9999999999945,0.582,500
5,higher_mode,0.25,shared_orbit,6096.141822490166,internal,5452.817262458031,6399.9999999999945,0.756,500
5,independent_fundamental,0.08,full,,above_grid,,,0.0,500
5,independent_fundamental,0.08,fundamental,,above_grid,6007.788404073297,6399.9999999999945,0.108,500
5,independent_fundamental,0.08,shared_orbit,4935.074641305412,internal,4560.234376722443,5347.900872249009,1.0,500
5,independent_fundamental,0.12,full,3930.1477032246153,internal,3682.814698007991,4176.942373631563,1.0,500
5,independent_fundamental,0.12,fundamental,3414.4167450235004,internal,3097.8478113526116,3655.530987618158,1.0,500
5,independent_fundamental,0.12,shared_orbit,2209.133661406781,internal,2065.260044123072,2341.153609477648,1.0,500
5,independent_fundamental,0.18,full,1673.4438062362121,internal,1502.2566062557232,1825.4444788209391,1.0,500
5,independent_fundamental,0.18,fundamental,1271.6896265601601,internal,1197.625058870935,1376.056891018527,1.0,500
5,independent_fundamental,0.18,shared_orbit,997.5822214383406,internal,935.8598077057667,1054.095597002461,1.0,500
5,independent_fundamental,0.25,full,919.843795564209,internal,835.8318266974765,990.5888002219609,1.0,500
5,independent_fundamental,0.25,fundamental,654.5603962903888,internal,596.977768427834,737.0690437718163,1.0,500
5,independent_fundamental,0.25,shared_orbit,491.1951433641642,internal,445.4049759343662,528.3678257142083,1.0,500
6,exact_orbit,0.08,full,3981.255389198074,internal,3714.803978521049,4223.8367338112175,1.0,500
6,exact_orbit,0.08,fundamental,3320.839139832258,internal,3040.061265490411,3542.852281321423,1.0,500
6,exact_orbit,0.08,shared_orbit,2543.5120078015934,internal,2401.230911082613,2743.3916753194326,1.0,500
6,exact_orbit,0.12,full,1745.7634267902674,internal,1599.9999999999998,1879.8194562115023,1.0,500
6,exact_orbit,0.12,fundamental,1228.0697609045544,internal,1122.939761272186,1347.2554372924553,1.0,500
6,exact_orbit,0.12,shared_orbit,1044.4093581678476,internal,945.7042300699671,1131.289501064118,1.0,500
6,exact_orbit,0.18,full,960.8083604434125,internal,901.9178999888172,1016.4590200566405,1.0,500
6,exact_orbit,0.18,fundamental,571.4811379787332,internal,528.5889774801009,622.5764828030931,1.0,500
6,exact_orbit,0.18,shared_orbit,487.60546168178996,internal,444.731611909332,519.1245110581696,1.0,500
6,exact_orbit,0.25,full,411.0955297726428,internal,367.02053652371563,444.88945008610216,1.0,500
6,exact_orbit,0.25,fundamental,292.53537848362345,internal,270.92159016810456,312.75649289685475,1.0,500
6,exact_orbit,0.25,shared_orbit,253.71261710417207,internal,237.5931284082758,270.10586593293743,1.0,500
6,higher_mode,0.08,full,2946.222948575297,internal,2728.510880561472,3250.868525564887,1.0,500
6,higher_mode,0.08,fundamental,,above_grid,,,0.0,500
6,higher_mode,0.08,shared_orbit,,above_grid,,,0.0,500
6,higher_mode,0.12,full,1367.7404978298987,internal,1262.9038420722584,1517.3184556745387,1.0,500
6,higher_mode,0.12,fundamental,,above_grid,,,0.0,500
6,higher_mode,0.12,shared_orbit,,above_grid,,,0.0,500
6,higher_mode,0.18,full,598.3879324735937,internal,556.8006252320289,644.0949575737542,1.0,500
6,higher_mode,0.18,fundamental,,above_grid,,,0.0,500
6,higher_mode,0.18,shared_orbit,,above_grid,,,0.0,500
6,higher_mode,0.25,full,293.49447262223157,internal,275.5055340345062,314.08803505150394,1.0,500
6,higher_mode,0.25,fundamental,,above_grid,5881.35600700032,6399.9999999999945,0.304,500
6,higher_mode,0.25,shared_orbit,,above_grid,,,0.0,500
6,independent_fundamental,0.08,full,,above_grid,,,0.0,500
6,independent_fundamental,0.08,fundamental,,above_grid,,,0.0,500
6,independent_fundamental,0.08,shared_orbit,5555.78308241548,internal,5139.568349647492,6048.789425466078,0.998,500
6,independent_fundamental,0.12,full,4394.162567314464,internal,4084.360624197596,4673.60912940775,1.0,500
6,independent_fundamental,0.12,fundamental,3331.418087519708,internal,2976.2809193669164,3603.1814013881753,1.0,500
6,independent_fundamental,0.12,shared_orbit,2755.6365725847118,internal,2554.8368077114137,3025.1058472410855,1.0,500
6,independent_fundamental,0.18,full,2056.784646225827,internal,1895.9072368712086,2224.958441395358,1.0,500
6,independent_fundamental,0.18,fundamental,1392.8809012737984,internal,1262.4266410597434,1569.042990439079,1.0,500
6,independent_fundamental,0.18,shared_orbit,1201.5513058716053,internal,1135.9393893545393,1280.442530392745,1.0,500
6,independent_fundamental,0.25,full,1023.4875774926662,internal,952.4158307840524,1092.543111187001,1.0,500
6,independent_fundamental,0.25,fundamental,711.6071868293651,internal,658.9806239421522,779.8092556503957,1.0,500
6,independent_fundamental,0.25,shared_orbit,583.3265733802151,internal,545.0106218386102,623.2713084755308,1.0,500
